Colour,Cosmo_Floss_#,R,G,B,RGB_Hex,CC_Column,CC_Row,CC_Index
#F8DFD8,351,248,223,216,#F8DFD8,1,1,1.001
#F9D1DF,352,249,209,223,#F9D1DF,1,2,1.002
#F49DC7,353,244,157,199,#F49DC7,1,3,1.003
#F287BC,354,242,135,188,#F287BC,1,4,1.004
#F4D6E3,480A,244,214,227,#F4D6E3,1,5,1.005
#F5C2DA,2111,245,194,218,#F5C2DA,1,6,1.006
#F2A5CC,112,242,165,204,#F2A5CC,1,7,1.007
#EE8ABF,113,238,138,191,#EE8ABF,1,8,1.008
#EB60A7,114,235,96,167,#EB60A7,1,9,1.009
#E93F82,2114,233,63,130,#E93F82,1,10,1.01
#E63270,115A,230,50,112,#E63270,1,11,1.011
#D9225D,2115,217,34,93,#D9225D,1,12,1.012
#C81B45,3115,200,27,69,#C81B45,1,13,1.013
#EE68A4,203,238,104,164,#EE68A4,1,14,1.014
#ED579E,204,237,87,158,#ED579E,1,15,1.015
#E8427A,205A,232,66,122,#E8427A,1,16,1.016
#CF2448,240,207,36,72,#CF2448,1,17,1.017
#B0202F,241A,176,32,47,#B0202F,1,18,1.018
#AA163C,1241,170,22,60,#AA163C,1,19,1.019
#921B36,242,146,27,54,#921B36,1,20,1.02
#89212B,2241,137,33,43,#89212B,1,21,1.021
#611921,245,97,25,33,#611921,1,22,1.022
#711331,2245,113,19,49,#711331,1,23,1.023
#6B1828,246,107,24,40,#6B1828,1,24,1.024
#351D21,247,53,29,33,#351D21,1,25,1.025
#F1A8D0,499,241,168,208,#F1A8D0,1,26,1.026
#ED8BC4,501,237,139,196,#ED8BC4,1,27,1.027
#E45BAB,502,228,91,171,#E45BAB,1,28,1.028
#D33B92,503,211,59,146,#D33B92,1,29,1.029
#D73386,504,215,51,134,#D73386,1,30,1.03
#CD2C71,505A,205,44,113,#CD2C71,1,31,1.031
#B91D58,506,185,29,88,#B91D58,1,32,1.032
#EFB7D9,2480,239,183,217,#EFB7D9,1,33,1.033
#EDB3D7,481A,237,179,215,#EDB3D7,1,34,1.034
#D677B9,482,214,119,185,#D677B9,1,35,1.035
#BC4A9B,483,188,74,155,#BC4A9B,1,36,1.036
#A63C8A,484A,166,60,138,#A63C8A,1,37,1.037
#9E2679,485A,158,38,121,#9E2679,1,38,1.038
#802064,486,128,32,100,#802064,1,39,1.039
#F7DBE2,220,247,219,226,#F7DBE2,1,40,1.04
#F4C1D9,221,244,193,217,#F4C1D9,1,41,1.041
#E79DB9,2221,231,157,185,#E79DB9,1,42,1.042
#DC80AC,222,220,128,172,#DC80AC,1,43,1.043
#C96899,2222,201,104,153,#C96899,1,44,1.044
#AA427B,223,170,66,123,#AA427B,1,45,1.045
#9E3061,2223,158,48,97,#9E3061,1,46,1.046
#91375B,224,145,55,91,#91375B,1,47,1.047
#841F4A,2224,132,31,74,#841F4A,1,48,1.048
#5A1526,225,90,21,38,#5A1526,1,49,1.049
#4F1426,226,79,20,38,#4F1426,1,50,1.05
#E8ACBE,811,232,172,190,#E8ACBE,2,1,2.001
#DD90A5,812,221,144,165,#DD90A5,2,2,2.002
#CE6B8B,813,206,107,139,#CE6B8B,2,3,2.003
#BB4170,814,187,65,112,#BB4170,2,4,2.004
#A42F5B,815,164,47,91,#A42F5B,2,5,2.005
#9C2B54,816A,156,43,84,#9C2B54,2,6,2.006
#DAA5B7,431,218,165,183,#DAA5B7,2,7,2.007
#D69FB7,432A,214,159,183,#D69FB7,2,8,2.008
#B16D8A,433,177,109,138,#B16D8A,2,9,2.009
#8E4E61,434,142,78,97,#8E4E61,2,10,2.01
#713B48,435,113,59,72,#713B48,2,11,2.011
#651A28,437,101,26,40,#651A28,2,12,2.012
#DAB6B7,232,218,182,183,#DAB6B7,2,13,2.013
#CEA7AE,233,206,167,174,#CEA7AE,2,14,2.014
#B08294,234,176,130,148,#B08294,2,15,2.015
#8F6672,235,143,102,114,#8F6672,2,16,2.016
#7C474F,236,124,71,79,#7C474F,2,17,2.017
#EBC7C7,3651,235,199,199,#EBC7C7,2,18,2.018
#D296A3,652,210,150,163,#D296A3,2,19,2.019
#CC7F91,2652,204,127,145,#CC7F91,2,20,2.02
#AA6074,653,170,96,116,#AA6074,2,21,2.021
#99465A,654,153,70,90,#99465A,2,22,2.022
#75262F,655,117,38,47,#75262F,2,23,2.023
#522022,656,82,32,34,#522022,2,24,2.024
#F9E9DE,101,249,233,222,#F9E9DE,2,25,2.025
#F8DFD7,102,248,223,215,#F8DFD7,2,26,2.026
#F4C7C9,103A,244,199,201,#F4C7C9,2,27,2.027
#EFA3AF,104,239,163,175,#EFA3AF,2,28,2.028
#E57F95,105,229,127,149,#E57F95,2,29,2.029
#E06080,1105,224,96,128,#E06080,2,30,2.03
#DB4F6E,2105,219,79,110,#DB4F6E,2,31,2.031
#BE374C,106,190,55,76,#BE374C,2,32,2.032
#B32B41,107,179,43,65,#B32B41,2,33,2.033
#B62D53,2242,182,45,83,#B62D53,2,34,2.034
#A82231,108,168,34,49,#A82231,2,35,2.035
#71202B,4300,113,32,43,#71202B,2,36,2.036
#F9E5E9,111,249,229,233,#F9E5E9,2,37,2.037
#F8D2DD,832,248,210,221,#F8D2DD,2,38,2.038
